@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
0.346377,0.215807,2.068169,-1.452071,-1.161204,1.111534,-2.563606,1.417602,14.239462,6.753325,0.345252,0.215586,2.025446,-1.412901,-1.127181,1.09702,-2.509922,1.417455,12.985896,6.505013,0.337968,0.213149,1.747804,-1.165467,-0.906383,0.995849,-2.161317,1.415581,6.769632,4.983848,0.007283,0.321501,0.197345,1.128162,-0.700393,-0.420684,0.692225,-1.392618,1.402641,1.066107,2.173285,0.023751,0.016468,0.293098,0.118729,0.383593,-0.303782,-0.033225,0.183657,-0.487438,1.335314,0.020781,0.225184,0.052154,0.044871,0.028403,0.249973,0.020692,0.091802,-0.101538,0.000731,0.010005,-0.111544,1.321945,0.000076,0.007387,0.095279,0.087996,0.071528,0.043125,0.278015,0.33828,0.217682,2.78015,0.041894,0.284315,'class 1'
0.352181,0.196552,1.889827,-1.302436,-0.957019,1.010771,-2.313208,1.486447,9.371294,5.524417,0.351211,0.196791,1.850334,-1.273259,-0.921026,0.992065,-2.265324,1.484067,8.600883,5.305294,0.344851,0.19703,1.594144,-1.086969,-0.701136,0.86826,-1.955229,1.466817,4.70952,3.986045,0.00636,0.32937,0.183839,1.031866,-0.719649,-0.294301,0.560799,-1.280448,1.411164,0.87788,1.695096,0.021841,0.015481,0.298511,0.10665,0.379452,-0.343459,-0.021025,0.146127,-0.489586,1.271591,0.023836,0.202065,0.0527,0.04634,0.030859,0.251147,0.017273,0.093249,-0.107266,0.001133,0.00541,-0.112676,1.274495,0.00008,0.006972,0.100064,0.093704,0.078223,0.047364,0.283202,0.332401,0.22671,2.832017,0.038885,0.287083,'class 1'
0.366914,0.225592,1.683143,-1.392114,-0.448048,0.669625,-2.061739,-1.553556,7.229012,3.730174,0.365942,0.22406,1.646151,-1.370039,-0.416689,0.646101,-2.01614,-1.558098,6.651674,3.543764,0.359429,0.213291,1.409721,-1.223862,-0.245272,0.501381,-1.725242,1.550043,3.713027,2.478925,0.006513,0.341888,0.178435,0.91735,-0.879032,-0.042764,0.247417,-1.12645,1.436174,0.729237,0.943755,0.024054,0.017541,0.3042,0.090722,0.372501,-0.402691,0.003232,0.071815,-0.474506,1.201107,0.0242,0.149233,0.061742,0.05523,0.037689,0.252014,0.013264,0.093694,-0.111852,0.001551,0.000223,-0.112075,1.228738,0.000079,0.006305,0.113927,0.107415,0.089874,0.052185,0.288485,0.329838,0.241554,2.884849,0.03327,0.286287,'class 1'
0.387679,0.249471,1.557564,-1.799163,0.390812,0.015224,-1.814387,-1.436758,5.417873,1.67374,0.386414,0.245529,1.524902,-1.770582,0.392146,-0.000311,-1.770271,-1.442182,4.910539,1.566379,0.377966,0.220298,1.317441,-1.581453,0.379079,-0.089059,-1.492394,-1.484961,2.462663,0.984674,0.008448,0.355253,0.162235,0.881018,-1.118795,0.236068,-0.167331,-0.951463,1.465256,0.384812,0.307431,0.031161,0.022713,0.30894,0.070646,0.371127,-0.462652,0.030876,-0.018557,-0.444096,1.105482,0.01938,0.090542,0.077473,0.069026,0.046313,0.252476,0.009064,0.092853,-0.114575,0.001922,-0.005138,-0.109437,1.184814,0.000071,0.005439,0.133938,0.12549,0.102777,0.056465,0.292727,0.328969,0.258198,2.927267,0.027107,0.288999,'class 1'
0.404925,0.237095,1.66228,-2.298392,1.247618,-0.767011,-1.531381,-1.26416,1.543212,0.292131,0.403228,0.23226,1.62794,-2.2529,1.201825,-0.760214,-1.492685,-1.268104,1.361552,0.268257,0.392085,0.201943,1.408509,-1.960169,0.924571,-0.711776,-1.248393,-1.305383,0.553206,0.143979,0.011143,0.363901,0.136662,0.933715,-1.310445,0.422541,-0.538815,-0.77163,1.454491,0.04654,0.027102,0.039327,0.028184,0.311335,0.050485,0.372257,-0.500976,0.051009,-0.097285,-0.403691,0.958486,0.011781,0.046942,0.091893,0.08075,0.052566,0.252439,0.006131,0.090401,-0.114708,0.002176,-0.010165,-0.104543,1.143488,0.000059,0.004454,0.150789,0.139646,0.111462,0.058896,0.294592,0.324664,0.266132,2.945923,0.023215,0.298756,'class 1'
0.405655,0.250812,1.714175,-2.420597,1.460281,-1.114999,-1.305598,-0.136622,0.106428,0.018164,0.403807,0.246002,1.676048,-2.366642,1.395762,-1.088602,-1.27804,-0.137624,0.100501,0.017943,0.391805,0.215282,1.434485,-2.024879,1.021064,-0.923345,-1.101533,-0.128983,0.065092,0.015876,0.012001,0.362583,0.143354,0.930018,-1.311355,0.427213,-0.582185,-0.72917,0.167967,0.018576,0.010802,0.041224,0.029223,0.310172,0.04601,0.361918,-0.499518,0.056221,-0.138777,-0.360742,0.733322,0.006147,0.024634,0.093635,0.081634,0.052411,0.251829,0.007572,0.08601,-0.111624,0.002256,-0.014354,-0.09727,1.106505,0.000043,0.003438,0.151978,0.139976,0.110753,0.058342,0.292994,0.316606,0.254715,2.929939,0.02267,0.294385,'class 1'
0.382382,0.335497,1.33413,-1.855512,0.81984,-0.641779,-1.213732,0.428238,0.563142,0.163565,0.380965,0.329339,1.305884,-1.81664,0.786938,-0.632251,-1.184389,0.417899,0.503041,0.152428,0.371765,0.289482,1.128532,-1.571501,0.593182,-0.565649,-1.005852,0.341916,0.23928,0.096889,0.0092,0.34885,0.195069,0.7598,-1.055358,0.267467,-0.379502,-0.675856,0.19265,0.048909,0.043913,0.032114,0.022915,0.30473,0.066457,0.327688,-0.45025,0.046273,-0.131224,-0.319026,0.461152,0.003575,0.017635,0.076234,0.067035,0.04412,0.250602,0.012072,0.079425,-0.104908,0.002133,-0.017296,-0.087611,1.077071,0.000027,0.002472,0.130363,0.121163,0.098249,0.054129,0.287607,0.310218,0.243163,2.876068,0.02363,0.295178,'class 1'
0.339252,0.400902,0.617439,-0.766848,0.065681,0.019895,-0.786743,0.649397,0.191313,0.325332,0.338711,0.394209,0.608654,-0.760763,0.069702,0.006886,-0.767649,0.640884,0.1736,0.299953,0.335112,0.350761,0.557889,-0.721742,0.086999,-0.066832,-0.65491,0.569763,0.090075,0.172918,0.003598,0.324209,0.246217,0.452375,-0.602421,0.076926,-0.135067,-0.467354,0.300602,0.020035,0.055208,0.014502,0.010904,0.294924,0.095105,0.267112,-0.356716,0.027513,-0.085637,-0.271079,0.233489,0.002188,0.017194,0.043787,0.040189,0.029285,0.248749,0.017116,0.070551,-0.09445,0.001824,-0.018738,-0.075713,1.060965,0.000014,0.001623,0.089961,0.086363,0.07546,0.046175,0.27897,0.300739,0.232289,2.7897,0.024163,0.289452,'class 1'
0.288425,0.396275,0.422588,0.360278,-0.071744,0.636634,-0.276356,0.632138,0.054097,0.416775,0.288782,0.39123,0.403874,0.335434,-0.069103,0.608697,-0.273263,0.625365,0.04376,0.388927,0.290937,0.358158,0.295171,0.179491,-0.052382,0.437412,-0.257921,0.569543,0.007788,0.241744,-0.002154,0.292954,0.271055,0.185206,-0.095563,-0.016071,0.143812,-0.239375,0.332064,0.00067,0.073416,-0.004172,-0.002017,0.281264,0.120762,0.188179,-0.230908,0.008905,-0.021388,-0.209519,0.07401,0.000944,0.017697,0.007518,0.009673,0.01169,0.246306,0.021791,0.05953,-0.080504,0.001385,-0.018562,-0.061942,1.069618,0.000006,0.000941,0.042476,0.044631,0.046648,0.034958,0.268061,0.291233,0.222495,2.680612,0.02349,0.277863,'class 1'
0.240621,0.347917,0.954275,1.155932,0.179502,1.133921,0.022011,0.357853,0.825989,0.618172,0.241588,0.345277,0.92297,1.114856,0.164218,1.098738,0.016118,0.356187,0.728382,0.586032,0.247692,0.327617,0.726031,0.855596,0.082469,0.876222,-0.020626,0.341185,0.294404,0.402167,-0.006104,0.259619,0.271092,0.342527,0.340005,-0.004397,0.428065,-0.08806,0.2395,0.015398,0.133193,-0.018031,-0.011927,0.264705,0.138848,0.110787,-0.087797,-0.002297,0.048015,-0.135812,-0.041184,0.00013,0.016896,-0.023118,-0.017014,-0.005086,0.243348,0.025641,0.046803,-0.063701,0.000899,-0.016679,-0.047022,1.129863,0.000002,0.00046,-0.001761,0.004343,0.016271,0.021357,0.255757,0.280324,0.213731,2.55757,0.021607,0.261714,'class 1'
